,0,1,2
0,39.83957,15.392442,25.350872
1,40.32167,15.427946,24.937925
2,39.55579,16.810078,24.459887
3,39.85272,15.345874,25.388992
4,39.6769,14.683989,23.700785
5,39.54615,14.769386,23.624525
6,38.34649,15.219267,25.261723
7,39.176712,15.917488,25.011082
8,39.506813,16.5299,24.428066
9,39.611324,16.70592,23.962204
10,37.42577,16.13794,23.67886
11,37.987835,15.937751,25.126705
12,39.53384,16.290936,25.379845
13,38.80436,13.346585,23.554739
14,37.497204,16.002518,24.117834
15,39.179672,15.410291,23.341038
16,38.160355,16.121202,23.00404
17,38.818615,16.460846,23.83357
18,39.676304,15.079967,25.38373
19,37.106514,14.98469,24.291126
20,38.273216,14.66547,24.201847
21,40.284073,15.292763,24.423494
22,38.80221,16.64111,23.803452
23,39.569984,16.94682,24.380894
24,40.25782,15.668471,24.56478
25,39.715366,14.630911,25.235352
26,38.360355,15.553195,24.579464
27,39.559044,14.17135,23.901638
28,37.37303,15.685803,24.324352
29,39.677288,16.816372,24.454079
30,37.875984,15.087185,25.177805
31,40.282272,15.891521,23.888435
32,38.388065,14.618547,25.260138
33,39.2808,16.3152,23.233929
34,37.828556,16.269865,23.676174
35,37.950977,16.390041,23.747847
36,38.902092,15.449142,24.222397
37,38.06614,16.460367,23.742605
38,37.72473,15.515592,23.877161
39,37.43979,14.717112,23.32752
40,37.902462,15.878399,24.677067
41,39.092144,13.81443,24.33689
42,38.96559,16.12751,25.491108
43,39.406277,16.922272,24.504925
44,38.796177,14.265079,23.749372
45,37.766014,14.012923,22.575016
46,39.49204,16.741438,23.615538
47,37.813038,13.91056,22.409218
48,38.466637,14.737459,25.418644
49,39.408936,15.97518,25.444218
50,37.810898,14.866782,22.908295
51,38.522533,14.647463,25.551455
52,37.85391,15.857917,24.161606
53,38.217648,15.132982,24.080093
54,37.735313,14.372704,25.176516
55,38.40155,14.355449,24.259853
56,37.556404,15.334155,25.09794
57,39.144283,14.472897,25.162598
58,39.83144,15.920679,25.316238
59,38.97056,16.423853,22.771902
60,39.593414,15.699504,24.509432
61,38.601845,14.698458,21.81342
62,37.822006,16.28049,23.938633
63,36.924034,14.186602,24.039528
64,38.16496,14.156593,25.15177
65,38.46879,14.508593,25.362806
66,37.498314,14.617153,23.393467
67,37.472435,14.680187,23.346075
68,38.14337,15.012329,25.472347
69,38.3172,14.07859,25.324425
70,38.492615,16.802118,24.259018
71,37.804764,16.661854,24.5296
72,37.43148,14.627717,25.095232
73,38.668724,15.690029,25.513775
74,37.63433,14.952185,24.974731
75,39.982925,15.113339,24.621553
76,40.063114,15.448834,24.499514
77,38.80894,14.338563,25.05875
78,38.539436,16.143373,22.354475
79,39.06909,16.313976,25.505339
80,39.451344,15.475448,25.457956
81,39.579475,16.450207,25.306372
82,40.146835,16.455313,23.718681
83,37.48715,14.874585,23.743883
84,39.243046,16.770542,23.288607
85,40.117496,15.535598,24.241257
86,40.316956,15.245298,24.797647
87,37.491177,15.741258,24.13723
88,38.284195,14.659745,23.798386
89,37.67235,13.819247,22.494358
90,38.673855,16.428453,25.042162
91,37.5511,15.818004,23.22746
92,37.20655,14.916195,24.56357
93,38.68575,15.468176,25.501345
94,37.603474,16.04838,24.756065
95,37.183548,13.898335,22.18916
96,37.31242,14.040189,22.044998
97,37.03574,14.137759,21.587854
98,37.00589,13.971732,21.304716
99,37.192436,13.636132,20.97425
100,37.04233,13.653403,20.751429
101,37.11761,13.67321,20.891798
